Field,year,Year,State,Field,Individuals_Affected,Type_of_Breach,Method,Organizationtype,TypeofBreach,CoveredEntityType,IndividualsAffected
265,2011,2009,AZ,265,10000,Theft,lost / stolen media,military,Improper Disposal,Business Associate,603
266,2011,2010,CT,266,93500,Loss,inside job,military,Improper Disposal,Healthcare Provider,967
267,2011,2009,OK,267,84000,Theft,lost / stolen computer,military,Improper Disposal,Healthcare Provider,1907
268,2011,2020,MO,268,935,Unauthorized Access/Disclosure,hacked,healthcare,Improper Disposal,Healthcare Provider,1483
269,2011,2016,OK,269,132940,Theft,hacked,telecoms,Improper Disposal,Healthcare Provider,8200
270,2011,2020,SC,270,2717,Improper Disposal,publicly accessible Amazon Web Services (AWS) server,online marketing,Improper Disposal,Healthcare Provider,4083
271,2011,2020,CA,271,1900000,Unknown,accidentally exposed,mobile carrier,Improper Disposal,Healthcare Provider,1100
272,2004,2009,AZ,272,566,Theft,hacked,"government, healthcare",Improper Disposal,Healthcare Provider,1726
273,2011,2009,MN,273,1215,Loss,hacked,healthcare,Improper Disposal,Healthcare Provider,50000
274,2011,2013,WI,274,675,Unauthorized Access/Disclosure,inside job,telecoms,Improper Disposal,Healthcare Provider,2000
275,2011,2015,WY,275,15000,Hacking/IT Incident,hacked,retail,Improper Disposal,Healthcare Provider,28300
276,2011,2015,NC,276,6000,Hacking/IT Incident,hacked,retail,Improper Disposal,Healthcare Provider,1031
277,2011,2011,IL,277,845,Hacking/IT Incident,hacked,media,Improper Disposal,Business Associate,5388
278,2011,2013,IL,278,686,Hacking/IT Incident,hacked,government,Improper Disposal,Healthcare Provider,500
279,2011,2020,AZ,279,9393,Hacking/IT Incident,hacked,web,Improper Disposal,Healthcare Clearing House,4204
280,2011,2020,IL,280,532,Hacking/IT Incident,hacked,retail,Improper Disposal,Business Associate,277014
281,2011,2016,IL,281,1070,Hacking/IT Incident,hacked,web,Improper Disposal,Healthcare Provider,720
282,2010,2011,OH,282,500,Improper Disposal,hacked,web,Improper Disposal,Healthcare Provider,3529
283,2011,2015,NH,283,5960,Theft,social engineering,web,Improper Disposal,Healthcare Provider,55000
284,2011,2013,TX,284,1500,Theft,hacked,web,Improper Disposal,Healthcare Provider,
285,2011,2014,MA,285,563,Theft,hacked,web,Improper Disposal,Health Plan,1127
286,2011,2013,IN,286,22001,Theft,hacked,"tech, web",Improper Disposal,Health Plan,10000
287,2011,2012,MO,287,850,Unauthorized Access/Disclosure,hacked,web,Improper Disposal,Healthcare Provider,500
288,2010,2010,PA,288,1388,Theft,accidentally published,academic,"Improper Disposal, Loss",Healthcare Provider,1430
289,2011,2020,PR,289,32390,Theft,poor security,social media,"Improper Disposal, Loss",Healthcare Provider,2000
290,2011,2012,PR,290,24361,Theft,hacked,web,"Improper Disposal, Loss",Business Associate,2260
291,2011,2019,AZ,291,654,"Theft, Unauthorized Access/Disclosure",hacked,social network,"Improper Disposal, Loss, Theft",Business Associate,49714
292,2011,2019,FL,292,8000,Theft,hacked,financial,"Improper Disposal, Loss, Theft",Healthcare Provider,1950
293,2011,2020,CA,293,620,Theft,accidentally published,financial,"Improper Disposal, Loss, Theft",Business Associate,1674
294,2011,2020,TX,294,1031,Improper Disposal,poor security,healthcare,"Improper Disposal, Theft",Business Associate,501
